A1.1	This is Los Angeles.
A1.2	And it's the height of summer.
A1.3	In a small bungalow off of La Cienega, Clara serves homemade chili and chips in red plastic bowls -- wine in blue plastic.
A1.4	The colors don't match and the cups are too big to serve wine.
A1.5	"You didn't get half the things on my list," she hisses at Gary as he passes.
A1.6	He shrugs.
A1.7	No one seems to mind but her.
A1.8	"Did you have to buy a 400 dollar bottle of Scotch?"
A1.9	Gary waves away her upset.
A1.10	He seems distracted.
A1.11	Guilty of something.
A1.12	She can tell by the way he avoids her.
A1.13	Clara looks at her face in the hallway mirror.
A1.14	She's 33 years old.
A1.15	She's slowly getting white hairs in her eyebrows.
A1.16	She feels completely alone.
A1.17	Grad students fill the low-ceiling space, chewing big words and gesticulating emphatically.
A1.18	Gary's face looks up from the photo his parents have framed in expensive mahogany:  Elated, graduating, cap and gown and all.
A1.19	Toasts and more toasts: 
A1.20	"To our Doctor of Philosophy.  Amazing Art Prodigy.  To Gary Loisin!"
A1.21	Clara's carefully picked "Happy Graduation" paper banners hang too low from the adobe doors.
A1.22	People have to duck when they go in the kitchen.  
B1.1	At 74th and Columbus, Apartment 9D, Steven Perdue watches his wife get ready for her violin lesson: black clothes, pearl necklace, her controlled, quiet elegance.
B1.2	"We cannot ignore this...  We should be vigilant Steven..."
B1.3	Married 8 years he still can't believe his good luck.
B1.4	"Steven, are you listening?"
B1.5	Yes, yes... He is listening... 
B1.6	"Sasha broke up with this guy and now I'm missing ten sleeping pills."
B1.7	Oh God.  What is his daughter getting into again?
B1.8	"We don't want a repeat of last year..."
B1.9	There is an edge in Margaret's voice: "This girl better grow up..."
B1.10	She sounds cold and he notices.
B1.11	Margaret pauses by the mirror then touches her neck.
B1.12	She hates her age. 
B1.13	She hates being Sasha's stepmother.
B1.14	"You think I should talk to her, Maggie?"
B1.15	Margaret turns and wraps her arms around Steven's stooped frame.
B1.16	He looks much older than 50.
B1.17	"She doesn't talk to me," Margaret whispers.  "So yes,
B1.18	I think you should do it."
B1.19	She stops.
B1.20	"I'll be home late tonight," she adds.
B1.21	She wants Steven to ask why, but he doesn't.
A2.1	The Graduation party keeps going.
A2.2	Clara stares at her husband, once the most handsome man in the room:  Gary's 35 and already balding.
A2.3	His face is liquor-flushed as he bends over a 4-month-old baby-boy.
A2.4	Son of friends.
A2.5	His friends, not hers.
A2.6	He asks to hold the boy, and Clara's eyes melt.
A2.7	In an alternate universe this boy would be theirs.
A2.8	Gary's awkward, the baby starts crying and everyone laughs:"You're not daddy material, man..."
A2.9	Clara can see the back of Gary's neck; all red... Embarrassed, but hiding it.
A2.10	She knows this neck.
A2.11	Has studied it each night for ten years.
A2.12	And Clara is suddenly filled with the need to protect him... 
A2.13	She puts her hand on the small of his back, hoping he'd turn.
A2.14	The baby's father steps up.
A2.15	"So, is it time to open that Scotch? 
A2.16	Clara, you're moving to New York too?"
A2.17	Going where -- doing what?
A2.18	Clara looks at Gary confused and he smiles, past her -- to the crowd.
A2.19	He's basking in the glory of something.
A2.20	Tommy, the baby's father, looks at Clara's face and takes a step back -- 
A2.21	"Oh man... Did I blow the surprise? I'm so sorry..." 
B2.1	"You guys are into bullshit drama again.
B2.2	I just like to sleep deeply these days. That's all."
B2.3	Sasha strides up to her dad and opens her palm.
B2.4	The ten white sleeping pills stare at him, an act of defiance.
B2.5	"I certainly don't need you guys freaking out..."
B2.6	Sasha watches her dad flush the pills down the toilet.
B2.7	"You should have put them back in the pill-box."
B2.8	Of course Sasha's right and now his gesture of closure feels stupid.
B2.9	He puts his hand on her shoulder but she wiggles away.
B2.10	"So how do you sleep these days dad?"
B2.11	He turns on CNN.
B2.12	"Have you told Margaret yet?"
B2.13	Steven stares at the TV and carnage.
B2.14	"You haven't told my stepmother you've lost all your money?
B2.15	That your stocks have all tanked?
B2.16	That I might have to drop out of college?"
B2.17	On the TV -- the Middle East, India, Wars, Earthquakes, Crashes, Steven sighs.
B2.18	"There's no need to disturb Margaret... I'll figure it out.
B2.19	What do you want for your birthday?" he asks.
B2.20	"I want you to start telling the truth," says Sasha and her voice, for the first time is breaking.
B2.21	"Your duplicity is so fucking exhausting..." 
A3.1	Clara stares at Jeannie -- she must be what, 25?  26?
A3.2	So in love with this baby spitting up goo on her lap...  
A3.3	"And then, the moment they found out I was pregnant, Tommy's parents swept in and erased all our debt.
A3.4	All 10,000 dollars in one check... 
A3.5	So we could start fresh and not stress...
A3.6	Amazing.  Just amazing.  I love them."
A3.7	"That's great, Jeannie," Clara musters.
A3.8	"You want to have kids?" asks Jeannie.
A3.9	Still pudgy from the birth.  So full of life and good cheer.
A3.10	"Not yet," Clara says stiffly.
A3.11	"Can't afford it for one."  
A3.12	Jeannie looks up, expecting more of an answer:
A3.13	"I don't really like modern art, installation art? I don't really get it," admits Jeannie
A3.14	"Tommy says it's an incredible opportunity for Gary.
A3.15	A chance to create his own, site-specific piece, downtown in New York..."
A3.16	"We'll see," Clara says.
A3.17	She hates Gary for making her the killjoy.
